No. Moves,FirstMove,ProbCaptureFirst30,WhiteElo,BlackElo,TimeControl,Result,Fen,Eval5,Eval12
32,e4,0.13793103448275862,1403,1423,900+0,0-1,rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,+5,-27
48,e4,0.1724137931034483,1717,1722,600+4,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0,+195
33,d4,0.1724137931034483,2011,1667,180+0,1-0,rnbqkb1r/pp1ppppp/5n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-73,+75
40,e4,0.13793103448275862,1537,1675,180+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-63,-26
50,e4,0.2413793103448276,1407,1608,480+0,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 2 3,+13,e3
35,d4,0.3448275862068966,1930,1957,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-8,-386
46,e4,0.1724137931034483,1724,1782,600+0,0-1,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,-2,+89
28,e4,0.20689655172413793,1632,1209,900+8,1-0,rnbqkbnr/ppp2ppp/8/3pN3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-57,+246
22,e4,0.1724137931034483,1490,1505,300+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,-10,+39
13,e4,0.16666666666666666,1342,1382,300+3,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-13,+560
33,e4,0.10344827586206896,1445,1427,120+0,1-0,rnbqkbnr/pp1p1ppp/2p1p3/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,-80,+160
25,d4,0.3448275862068966,1468,1502,120+0,1-0,rn1qkbnr/ppp1pppp/8/3P1b2/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-66,-14
41,Nf3,0.20689655172413793,2159,2077,60+0,1-0,rnbqkb1r/pp1ppppp/5n2/2P5/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,-5,-22
27,d4,0.1724137931034483,1203,1320,600+0,0-1,rnbqkbnr/ppp2ppp/8/3pP3/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,-97,+262
41,d4,0.20689655172413793,1531,1711,300+0,0-1,rnbqkb1r/ppppp1pp/5n2/5p2/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,-30,-33
37,c4,0.1724137931034483,1685,1811,180+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,-21,+21
35,e4,0.2413793103448276,1724,1453,300+8,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/2B1P3/8/PPPPNPPP/RNBQK2R b KQkq - 1 3,+34,-66
24,e4,0.06896551724137931,1624,1437,300+0,0-1,rnb1kbnr/pppp1ppp/5q2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-97,+205
47,e4,0.27586206896551724,1361,1399,600+0,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-47,-200
28,e4,0.1724137931034483,1544,1731,60+1,0-1,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-36,+37
43,d4,0.20689655172413793,1059,1077,300+15,1-0,r1bqkb1r/pppppppp/2n2n2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-43,+104
21,d4,0.06896551724137931,1785,1760,180+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 2 3,+1,+52
44,e4,0.41379310344827586,1798,2009,60+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,-31,-103
31,e4,0.27586206896551724,1852,1656,360+0,0-1,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-19,-5
38,e4,0.10344827586206896,1714,1621,300+0,0-1,rnb1kbnr/ppppqppp/8/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-95,+80
91,d4,0.13793103448275862,1696,1788,300+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/2P4P/PP2PPP1/RNBQKBNR b KQkq - 0 3,+20,+35
28,e4,0.27586206896551724,1897,1709,300+0,1-0,rnbqkbnr/ppppppp1/8/8/2PPP2p/8/PP3PPP/RNBQKBNR b KQkq - 0 3,-81,+137
46,e3,0.2413793103448276,1373,1474,120+2,1-0,r1bqkbnr/pp1ppppp/2n5/2p4Q/2B5/4P3/PPPP1PPP/RNB1K1NR b KQkq - 3 3,+95,-386
16,d4,0.1724137931034483,1323,1501,900+0,0-1,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,+19,+161
26,e4,0.3103448275862069,1779,1653,780+12,1-0,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+72,-77
27,e4,0.41379310344827586,1259,1500,300+5,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-30,+12
88,c3,0.3103448275862069,1709,1837,600+0,0-1,rnbqkbnr/pp1p1ppp/2p5/4p3/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,+44,+65
57,d3,0.1724137931034483,1513,1397,60+2,1-0,rnbqkbnr/ppp2ppp/3pp3/8/4PP2/3P4/PPP3PP/RNBQKBNR b KQkq - 0 3,-14,+70
34,e4,0.20689655172413793,1712,1772,480+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-34,+1
48,e4,0.20689655172413793,1689,1423,300+0,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-30,+89
33,e4,0.20689655172413793,1790,1863,60+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 3,-22,+186
37,d3,0.13793103448275862,2133,1631,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/8/3P1N2/PPPNPPPP/R1BQKB1R b KQkq - 1 3,+2,+13
58,e4,0.27586206896551724,1978,1773,180+0,1/2-1/2,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-22,+209
70,d4,0.27586206896551724,2124,2031,60+0,1-0,rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-56,+46
36,e4,0.034482758620689655,1872,1869,600+8,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,+4,+22
16,e4,0.3103448275862069,1878,1861,60+0,0-1,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-31,+106
35,e4,0.13793103448275862,2077,2187,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-18,+39
24,d4,0.1724137931034483,1284,1354,960+2,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-24,-2
12,e4,0.36363636363636365,1091,1211,240+8,0-1,rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,+2,-232
50,e4,0.20689655172413793,1902,1691,900+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-15,+87
15,d4,0.17857142857142858,1801,1670,180+0,0-1,r1bqkbnr/pppp1ppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 3,-129,-398
21,e4,0.13793103448275862,1338,1658,420+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5Q1N/PPPP1PPP/RNB1KB1R b KQkq - 3 3,+87,-88
56,e4,0.3103448275862069,1998,1615,240+2,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-3,-42
30,e4,0.20689655172413793,1781,1936,180+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,-20,+49
6,d4,0.1111111111111111,1037,1451,180+2,0-1,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,+24,+421
28,e4,0.20689655172413793,1756,1386,60+0,1-0,rnbqkbnr/pp1ppp1p/6p1/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,+19,+171
43,e4,0.2413793103448276,1952,1901,900+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,+75,+61
46,d4,0.13793103448275862,2136,2159,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-4,+74
31,d4,0.2413793103448276,1864,1662,180+2,1-0,rnbqkb1r/pppp1ppp/4pn2/8/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 1 3,-3,+66
48,e4,0.2413793103448276,1848,1875,180+0,0-1,rn1qkbnr/pbpppppp/1p6/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-53,+255
34,e4,0.3103448275862069,2063,2052,300+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-30,+50
39,e4,0.2413793103448276,1551,1242,0+15,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5PP1/PPPP3P/RNBQKBNR b KQkq - 0 3,+113,+32
38,e4,0.3103448275862069,1855,1825,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,-35,+243
26,e4,0.10344827586206896,1761,1315,300+0,1-0,rnbqkbnr/ppp2ppp/3pp3/8/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-60,+119
44,e4,0.27586206896551724,1691,1708,600+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-57,+118
22,e4,0.2413793103448276,1191,1270,900+0,0-1,rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,+3,+19
25,e4,0.27586206896551724,1743,1693,60+0,0-1,rn1qkbnr/pbpppppp/1p6/8/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 2 3,-15,+60
25,e4,0.13793103448275862,1900,1741,120+0,1-0,rnbqkbnr/ppp1pppp/8/8/3pP3/8/PPPPNPPP/R1BQKBNR b KQkq - 1 3,+30,+144
38,c4,0.20689655172413793,1658,1746,180+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 3,-5,+45
33,d4,0.13793103448275862,1853,1869,300+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-32,-3
46,e4,0.06896551724137931,1396,1361,180+2,0-1,rnbqkbnr/1p1ppppp/p7/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,-9,+57
41,e4,0.2413793103448276,1733,1977,300+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-25,+8
27,e4,0.3448275862068966,1620,1185,900+3,1-0,rnbqkbnr/ppp2ppp/8/3pP3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-110,+250
59,c4,0.20689655172413793,1989,1645,600+0,1-0,rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-61,+52
21,e4,0.3793103448275862,1196,1698,300+0,0-1,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+76,-19
30,e4,0.1724137931034483,1871,1939,480+0,1-0,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-31,+71
58,e4,0.13793103448275862,2298,2211,180+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-36,+31
17,Nf3,0.27586206896551724,1801,1825,60+2,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-26,+8
18,e4,0.20689655172413793,1562,1674,0+1,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-35,+34
62,e4,0.3448275862068966,1676,1908,60+0,1/2-1/2,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,-40,+107
38,Nf3,0.20689655172413793,2588,1981,60+0,0-1,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-9,-23
33,d4,0.06896551724137931,1389,2020,180+2,1-0,rnbqkbnr/pp2pppp/8/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-4,-58
46,d4,0.06896551724137931,1901,1967,60+0,1-0,rnbqk1nr/ppppppbp/6p1/8/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-19,+8
17,e4,0.27586206896551724,1933,1821,180+0,1-0,rnbqkbnr/pppp2pp/8/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-47,+32
25,e4,0.13793103448275862,1958,1926,180+2,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P1Q2/PPP2PPP/RNB1KBNR b KQkq - 0 3,+66,-63
32,e4,0.20689655172413793,1560,1509,180+0,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-17,+14
38,Nf3,0.13793103448275862,1966,2023,120+0,1-0,rnbqkb1r/pppppp1p/5np1/8/3P3P/5N2/PPP1PPP1/RNBQKB1R b KQkq - 0 3,-2,+72
25,a4,0.2413793103448276,1598,1664,60+1,0-1,rnbqk1nr/ppppppbp/P5p1/8/8/8/1PPPPPPP/RNBQKBNR b KQkq - 0 3,+94,+65
53,d4,0.2413793103448276,1775,1812,180+2,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-38,+19
29,e4,0.3103448275862069,1796,1472,420+3,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-44,+55
31,d4,0.13793103448275862,1891,1742,180+0,1-0,rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-54,+75
60,d4,0.1724137931034483,1808,1642,1200+0,1-0,rnbqkbnr/1ppppppp/8/8/p1PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,-92,+225
39,d4,0.0,1758,1789,300+5,1-0,rnbqkbnr/p1pp1ppp/1p2p3/8/3P4/5N1P/PPP1PPP1/RNBQKB1R b KQkq - 1 3,-18,+57
26,e4,0.20689655172413793,1623,1532,360+0,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-37,+161
12,e4,0.19047619047619047,2233,1786,60+0,1-0,rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3,-8,+31
60,e4,0.06896551724137931,1713,2015,300+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,-55,+70
35,g3,0.2413793103448276,1426,1516,300+4,1-0,rnbqkbnr/ppp2ppp/8/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 0 3,+31,+74
35,e4,0.20689655172413793,1524,1810,180+0,0-1,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+84,-116
21,e4,0.27586206896551724,1594,1637,1200+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-49,+69
24,e4,0.13793103448275862,1453,1167,180+2,1-0,rnbqkbnr/ppp1pp1p/3p2p1/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3,-4,+101
42,d4,0.3103448275862069,1868,1561,120+0,1-0,rnbqkbnr/ppp2ppp/3p4/4P3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-50,+31
43,d4,0.1724137931034483,2176,1741,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-26,+44
39,e4,0.1724137931034483,1893,1989,180+0,0-1,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-27,-103
8,e4,0.23076923076923078,1663,1408,780+0,1-0,rnbqkbnr/pppp2pp/8/4pP2/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-178,+454
21,e4,0.3103448275862069,1658,1867,60+0,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/4PP2/2P5/PP1P2PP/RNBQKBNR b KQkq - 0 3,+6,-149
49,d4,0.10344827586206896,1901,2004,180+0,0-1,rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-58,+88
51,c4,0.3793103448275862,1519,1820,0+1,1-0,rn1qkbnr/pbpppppp/1p6/8/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 2 3,-14,+69
41,b4,0.10344827586206896,1700,1791,60+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/1P6/P7/1BPPPPPP/RN1QKBNR b KQkq - 0 3,+26,-13
32,e4,0.10344827586206896,1824,1844,180+0,0-1,rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-58,+124
13,e4,0.391304347826087,1412,1533,900+0,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-37,+126
39,e4,0.10344827586206896,1874,2410,60+0,0-1,rnbqkb1r/pppppppp/8/8/4nP2/3P4/PPP3PP/RNBQKBNR b KQkq - 0 3,+162,-122
38,e4,0.27586206896551724,1579,1555,480+7,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,+11,+51
53,d4,0.27586206896551724,1678,1604,60+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-22,+23
60,e4,0.20689655172413793,2297,2004,60+0,1-0,r1bqkbnr/pppnpppp/3p4/8/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 2 3,-67,+86
27,e4,0.20689655172413793,1300,1387,120+2,0-1,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-50,+17
20,d4,0.2413793103448276,1656,1309,60+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,+98,+55
41,e4,0.3448275862068966,1414,1513,720+0,1/2-1/2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-21,+560
44,e4,0.3793103448275862,1415,1338,480+0,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-26,+38
12,e4,0.36363636363636365,2127,2040,0+1,0-1,rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,+28,-14
29,e4,0.10344827586206896,1496,1443,300+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,-10,-11
32,d4,0.2413793103448276,1710,1493,180+2,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,-37,+83
31,d4,0.3103448275862069,1620,1737,60+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-8,+22
38,e4,0.1724137931034483,1933,1974,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq - 0 3,+22,-19
23,e4,0.2413793103448276,1697,1564,900+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-6,+69
80,e4,0.13793103448275862,1155,1375,300+10,1/2-1/2,rnb1kbnr/pppp1ppp/4p3/8/3PP2q/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-31,+321
